OMRÅDE;KØN;CIVILSTAND;TID;INDHOLD
Dragør;Mænd;I alt;2008K1;6475
Dragør;Mænd;I alt;2020K1;7122
Dragør;Mænd;Ugift;2008K1;2619
Dragør;Mænd;Ugift;2020K1;3097
Dragør;Mænd;Gift/separeret;2008K1;3269
Dragør;Mænd;Gift/separeret;2020K1;3281
Dragør;Mænd;Fraskilt;2008K1;372
Dragør;Mænd;Fraskilt;2020K1;507
Dragør;Mænd;Enke/enkemand;2008K1;215
Dragør;Mænd;Enke/enkemand;2020K1;237
Dragør;Kvinder;I alt;2008K1;6786
Dragør;Kvinder;I alt;2020K1;7372
Dragør;Kvinder;Ugift;2008K1;2276
Dragør;Kvinder;Ugift;2020K1;2747
Dragør;Kvinder;Gift/separeret;2008K1;3286
Dragør;Kvinder;Gift/separeret;2020K1;3265
Dragør;Kvinder;Fraskilt;2008K1;578
Dragør;Kvinder;Fraskilt;2020K1;704
Dragør;Kvinder;Enke/enkemand;2008K1;646
Dragør;Kvinder;Enke/enkemand;2020K1;656
Dragør;I alt;I alt;2008K1;13261
Dragør;I alt;I alt;2020K1;14494
Dragør;I alt;Ugift;2008K1;4895
Dragør;I alt;Ugift;2020K1;5844
Dragør;I alt;Gift/separeret;2008K1;6555
Dragør;I alt;Gift/separeret;2020K1;6546
Dragør;I alt;Fraskilt;2008K1;950
Dragør;I alt;Fraskilt;2020K1;1211
Dragør;I alt;Enke/enkemand;2008K1;861
Dragør;I alt;Enke/enkemand;2020K1;893
Tårnby;Mænd;I alt;2008K1;19436
Tårnby;Mænd;I alt;2020K1;21292
Tårnby;Mænd;Ugift;2008K1;8868
Tårnby;Mænd;Ugift;2020K1;10639
Tårnby;Mænd;Gift/separeret;2008K1;8434
Tårnby;Mænd;Gift/separeret;2020K1;8346
Tårnby;Mænd;Fraskilt;2008K1;1511
Tårnby;Mænd;Fraskilt;2020K1;1770
Tårnby;Mænd;Enke/enkemand;2008K1;623
Tårnby;Mænd;Enke/enkemand;2020K1;537
Tårnby;Kvinder;I alt;2008K1;20580
Tårnby;Kvinder;I alt;2020K1;21697
Tårnby;Kvinder;Ugift;2008K1;7918
Tårnby;Kvinder;Ugift;2020K1;9308
Tårnby;Kvinder;Gift/separeret;2008K1;8469
Tårnby;Kvinder;Gift/separeret;2020K1;8314
Tårnby;Kvinder;Fraskilt;2008K1;2131
Tårnby;Kvinder;Fraskilt;2020K1;2380
Tårnby;Kvinder;Enke/enkemand;2008K1;2062
Tårnby;Kvinder;Enke/enkemand;2020K1;1695
Tårnby;I alt;I alt;2008K1;40016
Tårnby;I alt;I alt;2020K1;42989
Tårnby;I alt;Ugift;2008K1;16786
Tårnby;I alt;Ugift;2020K1;19947
Tårnby;I alt;Gift/separeret;2008K1;16903
Tårnby;I alt;Gift/separeret;2020K1;16660
Tårnby;I alt;Fraskilt;2008K1;3642
Tårnby;I alt;Fraskilt;2020K1;4150
Tårnby;I alt;Enke/enkemand;2008K1;2685
Tårnby;I alt;Enke/enkemand;2020K1;2232
Albertslund;Mænd;I alt;2008K1;13810
Albertslund;Mænd;I alt;2020K1;13791
Albertslund;Mænd;Ugift;2008K1;7298
Albertslund;Mænd;Ugift;2020K1;7390
Albertslund;Mænd;Gift/separeret;2008K1;5334
Albertslund;Mænd;Gift/separeret;2020K1;5034
Albertslund;Mænd;Fraskilt;2008K1;930
Albertslund;Mænd;Fraskilt;2020K1;1071
Albertslund;Mænd;Enke/enkemand;2008K1;248
Albertslund;Mænd;Enke/enkemand;2020K1;296
Albertslund;Kvinder;I alt;2008K1;13792
Albertslund;Kvinder;I alt;2020K1;13940
Albertslund;Kvinder;Ugift;2008K1;6187
Albertslund;Kvinder;Ugift;2020K1;6405
Albertslund;Kvinder;Gift/separeret;2008K1;5335
Albertslund;Kvinder;Gift/separeret;2020K1;5020
Albertslund;Kvinder;Fraskilt;2008K1;1470
Albertslund;Kvinder;Fraskilt;2020K1;1655
Albertslund;Kvinder;Enke/enkemand;2008K1;800
Albertslund;Kvinder;Enke/enkemand;2020K1;860
Albertslund;I alt;I alt;2008K1;27602
Albertslund;I alt;I alt;2020K1;27731
Albertslund;I alt;Ugift;2008K1;13485
Albertslund;I alt;Ugift;2020K1;13795
Albertslund;I alt;Gift/separeret;2008K1;10669
Albertslund;I alt;Gift/separeret;2020K1;10054
Albertslund;I alt;Fraskilt;2008K1;2400
Albertslund;I alt;Fraskilt;2020K1;2726
Albertslund;I alt;Enke/enkemand;2008K1;1048
Albertslund;I alt;Enke/enkemand;2020K1;1156
Ballerup;Mænd;I alt;2008K1;23115
Ballerup;Mænd;I alt;2020K1;23771
Ballerup;Mænd;Ugift;2008K1;11100
Ballerup;Mænd;Ugift;2020K1;11889
Ballerup;Mænd;Gift/separeret;2008K1;9638
Ballerup;Mænd;Gift/separeret;2020K1;9193
Ballerup;Mænd;Fraskilt;2008K1;1737
Ballerup;Mænd;Fraskilt;2020K1;2024
Ballerup;Mænd;Enke/enkemand;2008K1;640
Ballerup;Mænd;Enke/enkemand;2020K1;665
Ballerup;Kvinder;I alt;2008K1;24001
Ballerup;Kvinder;I alt;2020K1;24831
Ballerup;Kvinder;Ugift;2008K1;9707
Ballerup;Kvinder;Ugift;2020K1;10482
Ballerup;Kvinder;Gift/separeret;2008K1;9715
Ballerup;Kvinder;Gift/separeret;2020K1;9248
Ballerup;Kvinder;Fraskilt;2008K1;2611
Ballerup;Kvinder;Fraskilt;2020K1;3004
Ballerup;Kvinder;Enke/enkemand;2008K1;1968
Ballerup;Kvinder;Enke/enkemand;2020K1;2097
Ballerup;I alt;I alt;2008K1;47116
Ballerup;I alt;I alt;2020K1;48602
Ballerup;I alt;Ugift;2008K1;20807
Ballerup;I alt;Ugift;2020K1;22371
Ballerup;I alt;Gift/separeret;2008K1;19353
Ballerup;I alt;Gift/separeret;2020K1;18441
Ballerup;I alt;Fraskilt;2008K1;4348
Ballerup;I alt;Fraskilt;2020K1;5028
Ballerup;I alt;Enke/enkemand;2008K1;2608
Ballerup;I alt;Enke/enkemand;2020K1;2762
Gladsaxe;Mænd;I alt;2008K1;30477
Gladsaxe;Mænd;I alt;2020K1;34377
Gladsaxe;Mænd;Ugift;2008K1;15569
Gladsaxe;Mænd;Ugift;2020K1;18624
Gladsaxe;Mænd;Gift/separeret;2008K1;11863
Gladsaxe;Mænd;Gift/separeret;2020K1;12375
Gladsaxe;Mænd;Fraskilt;2008K1;2240
Gladsaxe;Mænd;Fraskilt;2020K1;2745
Gladsaxe;Mænd;Enke/enkemand;2008K1;805
Gladsaxe;Mænd;Enke/enkemand;2020K1;633
Gladsaxe;Kvinder;I alt;2008K1;32085
Gladsaxe;Kvinder;I alt;2020K1;34885
Gladsaxe;Kvinder;Ugift;2008K1;13624
Gladsaxe;Kvinder;Ugift;2020K1;16107
Gladsaxe;Kvinder;Gift/separeret;2008K1;11895
Gladsaxe;Kvinder;Gift/separeret;2020K1;12360
Gladsaxe;Kvinder;Fraskilt;2008K1;3520
Gladsaxe;Kvinder;Fraskilt;2020K1;4043
Gladsaxe;Kvinder;Enke/enkemand;2008K1;3046
Gladsaxe;Kvinder;Enke/enkemand;2020K1;2375
Gladsaxe;I alt;I alt;2008K1;62562
Gladsaxe;I alt;I alt;2020K1;69262
Gladsaxe;I alt;Ugift;2008K1;29193
Gladsaxe;I alt;Ugift;2020K1;34731
Gladsaxe;I alt;Gift/separeret;2008K1;23758
Gladsaxe;I alt;Gift/separeret;2020K1;24735
Gladsaxe;I alt;Fraskilt;2008K1;5760
Gladsaxe;I alt;Fraskilt;2020K1;6788
Gladsaxe;I alt;Enke/enkemand;2008K1;3851
Gladsaxe;I alt;Enke/enkemand;2020K1;3008
Hvidovre;Mænd;I alt;2008K1;24139
Hvidovre;Mænd;I alt;2020K1;26389
Hvidovre;Mænd;Ugift;2008K1;11939
Hvidovre;Mænd;Ugift;2020K1;13985
Hvidovre;Mænd;Gift/separeret;2008K1;9638
Hvidovre;Mænd;Gift/separeret;2020K1;9692
Hvidovre;Mænd;Fraskilt;2008K1;1848
Hvidovre;Mænd;Fraskilt;2020K1;2129
Hvidovre;Mænd;Enke/enkemand;2008K1;714
Hvidovre;Mænd;Enke/enkemand;2020K1;583
Hvidovre;Kvinder;I alt;2008K1;25241
Hvidovre;Kvinder;I alt;2020K1;27138
Hvidovre;Kvinder;Ugift;2008K1;10586
Hvidovre;Kvinder;Ugift;2020K1;12548
Hvidovre;Kvinder;Gift/separeret;2008K1;9673
Hvidovre;Kvinder;Gift/separeret;2020K1;9649
Hvidovre;Kvinder;Fraskilt;2008K1;2703
Hvidovre;Kvinder;Fraskilt;2020K1;3037
Hvidovre;Kvinder;Enke/enkemand;2008K1;2279
Hvidovre;Kvinder;Enke/enkemand;2020K1;1904
Hvidovre;I alt;I alt;2008K1;49380
Hvidovre;I alt;I alt;2020K1;53527
Hvidovre;I alt;Ugift;2008K1;22525
Hvidovre;I alt;Ugift;2020K1;26533
Hvidovre;I alt;Gift/separeret;2008K1;19311
Hvidovre;I alt;Gift/separeret;2020K1;19341
Hvidovre;I alt;Fraskilt;2008K1;4551
Hvidovre;I alt;Fraskilt;2020K1;5166
Hvidovre;I alt;Enke/enkemand;2008K1;2993
Hvidovre;I alt;Enke/enkemand;2020K1;2487
Herlev;Mænd;I alt;2008K1;12830
Herlev;Mænd;I alt;2020K1;14065
Herlev;Mænd;Ugift;2008K1;6121
Herlev;Mænd;Ugift;2020K1;7231
Herlev;Mænd;Gift/separeret;2008K1;5397
Herlev;Mænd;Gift/separeret;2020K1;5273
Herlev;Mænd;Fraskilt;2008K1;930
Herlev;Mænd;Fraskilt;2020K1;1199
Herlev;Mænd;Enke/enkemand;2008K1;382
Herlev;Mænd;Enke/enkemand;2020K1;362
Herlev;Kvinder;I alt;2008K1;13737
Herlev;Kvinder;I alt;2020K1;14888
Herlev;Kvinder;Ugift;2008K1;5443
Herlev;Kvinder;Ugift;2020K1;6536
Herlev;Kvinder;Gift/separeret;2008K1;5476
Herlev;Kvinder;Gift/separeret;2020K1;5288
Herlev;Kvinder;Fraskilt;2008K1;1495
Herlev;Kvinder;Fraskilt;2020K1;1856
Herlev;Kvinder;Enke/enkemand;2008K1;1323
Herlev;Kvinder;Enke/enkemand;2020K1;1208
Herlev;I alt;I alt;2008K1;26567
Herlev;I alt;I alt;2020K1;28953
Herlev;I alt;Ugift;2008K1;11564
Herlev;I alt;Ugift;2020K1;13767
Herlev;I alt;Gift/separeret;2008K1;10873
Herlev;I alt;Gift/separeret;2020K1;10561
Herlev;I alt;Fraskilt;2008K1;2425
Herlev;I alt;Fraskilt;2020K1;3055
Herlev;I alt;Enke/enkemand;2008K1;1705
Herlev;I alt;Enke/enkemand;2020K1;1570
Ishøj;Mænd;I alt;2008K1;10327
Ishøj;Mænd;I alt;2020K1;11469
Ishøj;Mænd;Ugift;2008K1;5115
Ishøj;Mænd;Ugift;2020K1;5790
Ishøj;Mænd;Gift/separeret;2008K1;4215
Ishøj;Mænd;Gift/separeret;2020K1;4480
Ishøj;Mænd;Fraskilt;2008K1;789
Ishøj;Mænd;Fraskilt;2020K1;965
Ishøj;Mænd;Enke/enkemand;2008K1;208
Ishøj;Mænd;Enke/enkemand;2020K1;234
Ishøj;Kvinder;I alt;2008K1;10360
Ishøj;Kvinder;I alt;2020K1;11520
Ishøj;Kvinder;Ugift;2008K1;4409
Ishøj;Kvinder;Ugift;2020K1;5018
Ishøj;Kvinder;Gift/separeret;2008K1;4241
Ishøj;Kvinder;Gift/separeret;2020K1;4451
Ishøj;Kvinder;Fraskilt;2008K1;1068
Ishøj;Kvinder;Fraskilt;2020K1;1325
Ishøj;Kvinder;Enke/enkemand;2008K1;642
Ishøj;Kvinder;Enke/enkemand;2020K1;726
Ishøj;I alt;I alt;2008K1;20687
Ishøj;I alt;I alt;2020K1;22989
Ishøj;I alt;Ugift;2008K1;9524
Ishøj;I alt;Ugift;2020K1;10808
Ishøj;I alt;Gift/separeret;2008K1;8456
Ishøj;I alt;Gift/separeret;2020K1;8931
Ishøj;I alt;Fraskilt;2008K1;1857
Ishøj;I alt;Fraskilt;2020K1;2290
Ishøj;I alt;Enke/enkemand;2008K1;850
Ishøj;I alt;Enke/enkemand;2020K1;960
Lyngby-Taarbæk;Mænd;I alt;2008K1;24657
Lyngby-Taarbæk;Mænd;I alt;2020K1;27464
Lyngby-Taarbæk;Mænd;Ugift;2008K1;12348
Lyngby-Taarbæk;Mænd;Ugift;2020K1;14788
Lyngby-Taarbæk;Mænd;Gift/separeret;2008K1;9938
Lyngby-Taarbæk;Mænd;Gift/separeret;2020K1;10166
Lyngby-Taarbæk;Mænd;Fraskilt;2008K1;1599
Lyngby-Taarbæk;Mænd;Fraskilt;2020K1;1927
Lyngby-Taarbæk;Mænd;Enke/enkemand;2008K1;772
Lyngby-Taarbæk;Mænd;Enke/enkemand;2020K1;583
Lyngby-Taarbæk;Kvinder;I alt;2008K1;26792
Lyngby-Taarbæk;Kvinder;I alt;2020K1;28750
Lyngby-Taarbæk;Kvinder;Ugift;2008K1;10817
Lyngby-Taarbæk;Kvinder;Ugift;2020K1;13022
Lyngby-Taarbæk;Kvinder;Gift/separeret;2008K1;10009
Lyngby-Taarbæk;Kvinder;Gift/separeret;2020K1;10178
Lyngby-Taarbæk;Kvinder;Fraskilt;2008K1;2907
Lyngby-Taarbæk;Kvinder;Fraskilt;2020K1;3355
Lyngby-Taarbæk;Kvinder;Enke/enkemand;2008K1;3059
Lyngby-Taarbæk;Kvinder;Enke/enkemand;2020K1;2195
Lyngby-Taarbæk;I alt;I alt;2008K1;51449
Lyngby-Taarbæk;I alt;I alt;2020K1;56214
Lyngby-Taarbæk;I alt;Ugift;2008K1;23165
Lyngby-Taarbæk;I alt;Ugift;2020K1;27810
Lyngby-Taarbæk;I alt;Gift/separeret;2008K1;19947
Lyngby-Taarbæk;I alt;Gift/separeret;2020K1;20344
Lyngby-Taarbæk;I alt;Fraskilt;2008K1;4506
Lyngby-Taarbæk;I alt;Fraskilt;2020K1;5282
Lyngby-Taarbæk;I alt;Enke/enkemand;2008K1;3831
Lyngby-Taarbæk;I alt;Enke/enkemand;2020K1;2778
Vallensbæk;Mænd;I alt;2008K1;6188
Vallensbæk;Mænd;I alt;2020K1;8326
Vallensbæk;Mænd;Ugift;2008K1;2613
Vallensbæk;Mænd;Ugift;2020K1;3956
Vallensbæk;Mænd;Gift/separeret;2008K1;3056
Vallensbæk;Mænd;Gift/separeret;2020K1;3651
Vallensbæk;Mænd;Fraskilt;2008K1;372
Vallensbæk;Mænd;Fraskilt;2020K1;543
Vallensbæk;Mænd;Enke/enkemand;2008K1;147
Vallensbæk;Mænd;Enke/enkemand;2020K1;176
Vallensbæk;Kvinder;I alt;2008K1;6211
Vallensbæk;Kvinder;I alt;2020K1;8307
Vallensbæk;Kvinder;Ugift;2008K1;2248
Vallensbæk;Kvinder;Ugift;2020K1;3398
Vallensbæk;Kvinder;Gift/separeret;2008K1;3027
